session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
2,17,5136totl,14,matrix_new,q8,1564769083,10,2,FALSE
2,17,5136totl,15,matrix_new,q9,1564769094,11,2,FALSE
2,17,5136totl,16,matrix_new,q10,1564769110,16,2,FALSE
2,17,5136totl,17,matrix_new,Results,1564769132,22,2,FALSE
2,17,5136totl,18,matrix_new,Payoff2,1564769143,11,2,FALSE
2,17,5136totl,19,discreteT,Introduction,1564770061,918,2,FALSE
2,17,5136totl,20,discreteT,Introduction2,1564770107,46,2,FALSE
2,17,5136totl,21,discreteT,Discrete,1564770113,6,2,FALSE
2,17,5136totl,22,discreteT,Belief,1564770147,34,2,FALSE
2,17,5136totl,23,discreteT,Belief3,1564770229,82,2,FALSE
2,17,5136totl,24,discreteT,Results,1564770248,19,2,FALSE
2,17,5136totl,25,openquestion,Introduction,1564770356,108,2,FALSE
2,17,5136totl,26,openquestion,Likert,1564770477,121,2,FALSE
2,17,5136totl,27,scl,Instructions,1564770497,20,2,FALSE
2,17,5136totl,28,scl,Decision,1564770555,58,2,FALSE
2,17,5136totl,29,scl,Results,1564770559,4,2,FALSE
2,17,5136totl,30,BFI_S,Introduction,1564770563,4,2,FALSE
2,17,5136totl,31,BFI_S,Questionaire,1564770674,111,2,FALSE
2,17,5136totl,32,final_payoff,Results,1564770686,12,2,FALSE
2,17,5136totl,33,payment_info,PaymentInfo,1564770689,3,2,FALSE
2,18,1t8e2vrp,1,Demographic,Introduction,1564768493,38,2,FALSE
2,19,agh7o67s,1,Demographic,Introduction,1564769041,585,2,FALSE
2,19,agh7o67s,2,Demographic,Questionaire,1564769061,20,2,FALSE
2,19,agh7o67s,3,matrix_new,Start,1564769082,21,2,FALSE
2,19,agh7o67s,4,matrix_new,training,1564769091,9,2,FALSE
2,19,agh7o67s,5,matrix_new,training2,1564769097,6,2,FALSE
2,19,agh7o67s,6,matrix_new,training3,1564769108,11,2,FALSE
2,19,agh7o67s,7,matrix_new,q1,1564769118,10,2,FALSE
2,19,agh7o67s,8,matrix_new,q2,1564769124,6,2,FALSE
2,19,agh7o67s,9,matrix_new,q3,1564769130,6,2,FALSE
2,19,agh7o67s,10,matrix_new,q4,1564769134,4,2,FALSE
2,19,agh7o67s,11,matrix_new,q5,1564769144,10,2,FALSE
2,19,agh7o67s,12,matrix_new,q6,1564769154,10,2,FALSE
2,19,agh7o67s,13,matrix_new,q7,1564769159,5,2,FALSE
2,19,agh7o67s,14,matrix_new,q8,1564769171,12,2,FALSE
2,19,agh7o67s,15,matrix_new,q9,1564769178,7,2,FALSE
2,19,agh7o67s,16,matrix_new,q10,1564769183,5,2,FALSE
2,19,agh7o67s,17,matrix_new,Results,1564769186,3,2,FALSE
2,19,agh7o67s,18,matrix_new,Payoff2,1564769192,6,2,FALSE
2,19,agh7o67s,19,discreteT,Introduction,1564769277,85,2,FALSE
